,slope_3_bars,slope_10_bars,slope_30_bars,slope_75_bars,slope_200_bars,num_of_succsess_buy_before,num_of_success_sell_before,num_of_fail_buy_before,num_of_fail_sell_before,num_of_succsess_op_buy_before,num_of_success_op_sell_before,num_of_fail_op_buy_before,num_of_fail_op_sell_before,opposite_ind,Profit,forcast_value
0,-0.5869210445020587,-0.5919943983980822,-0.3526055083502323,-0.3503320077733209,-0.11206082350417666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,-0.03802351065578042,-0.49146419278881526,-0.5155174590144631,0.19712204372675154,0.1406644509299765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,-0.7516219727052096,-0.5097512840783649,-0.5754268326491266,-0.12618800464180754,0.08633618866257894,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,0.19840863255493044,0.09245820274447492,0.5994401880581202,0.39450508762268616,0.5054243448288576,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4,-0.5325034288292989,-0.044474017998769995,-0.6730403690893936,-0.20968656852658296,-0.4185966952040035,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
5,-0.4043636416602551,-0.8379337540820505,-0.27645100534507716,-0.11098700836375035,0.22697167971800847,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6,0.6755951713687678,-0.06210657348540685,0.32184650910876633,0.03724899574931048,-0.1664200999389989,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
7,0.43838748092823365,0.7881734543786543,0.69787096292791,0.20092130564707184,-9.411842312085249e-05,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
8,0.2381671282607936,0.02088331841852134,0.6661201848903705,0.2012435138301087,0.20818956680740955,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0
9,-0.09188869695716029,-0.6377548812362619,-0.2438853454057296,-0.6426135206638737,-0.24001458399163023,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
10,-0.0188363961711196,-0.5738407317145111,-0.020577061761510668,0.5207813602538037,0.30408809520573943,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
11,-0.751506819688339,-0.74760608979825,-0.49981388124064563,-1.1464484469919742,-0.6997959443428946,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
12,0.2755546638150969,0.03951387962989524,0.24148738786663168,0.8379300316437902,0.4552863279553508,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
13,0.11172213441549396,0.24186980697904636,0.760830267752083,1.1786927756894263,0.6838486511852685,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
14,-0.18215590187975358,-0.06990177860367555,0.41127507132188657,0.6100910793859678,0.715852289401525,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
15,-0.6594460228167712,-0.6659441051556986,0.1712709887198079,0.5876192901135527,0.9668059580398534,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16,-0.017028078805482395,0.05845352504098176,0.3023451082141979,-0.3737386179310186,-0.8693865906401635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
17,-0.07261684991691725,-0.033584001065634625,-0.24937087292669843,-0.347299093275843,0.7632217755321279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
18,-0.43920127545454424,-0.3174242265973099,-0.06921340651239341,0.045446935383380314,0.40775228778343686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19,0.13069625395764412,-0.48246928292969893,0.1713220096591721,0.454082716473796,0.2122271454931395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
20,0.18520435531189916,0.07687229808969717,0.26414716251238285,-0.011806213640380342,0.1511303496097463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21,-0.23732400959577618,-0.33581458478799353,0.12197210216545386,0.04543783212183362,0.06438398316770118,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22,0.4419211801477503,0.003238214434834582,0.3076786493081999,0.24009380317260892,0.0867868656837084,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
23,-0.40273436933005535,-0.5190560850107181,0.18198807311986048,0.25925296150083504,0.13499224305177437,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
24,-0.8248104221856103,-0.00618666864289932,0.2526813904205065,0.40797816183487123,0.22472681074211662,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
25,-0.49520586182157705,-0.10742650983430645,0.3885947760481722,0.4417272885498598,0.3591949653671242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26,-0.09202370795471053,-0.2811566172275158,-0.24389391040368794,-0.5715813510169193,-0.2850049224095124,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27,0.09204343148203005,0.4697588919803414,0.13776950664715734,-0.2747991791709876,-0.27555126822039877,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
